period,70% QQQ / 30% QLD,100% QQQ,100% QLD
2006,0.16557384485027238,0.13695372861193733,0.23140349966249474
2007,0.2213026152457378,0.19028720796799115,0.290327885442494
2008,-0.5287144973434216,-0.41726538514187383,-0.7288736605786107
2009,0.7286715792558616,0.5468400264435718,1.2119731797302857
2010,0.2559257153000747,0.20144918889895114,0.36903133701320145
2011,0.02712206115089466,0.03475952727042775,0.00037015514674876293
2012,0.23226640297394852,0.18112572091684087,0.34770568833328674
2013,0.491724208656261,0.36633670680357366,0.8211442117786718
2014,0.2457524536238085,0.19180800276815435,0.3759122549353331
2015,0.1141140509239913,0.09436666999337673,0.14740271215994838
2016,0.0829931798457042,0.07097081744320977,0.10167463992007209
2017,0.4315483332938126,0.32664759774114427,0.7033926740609595
2018,-0.022119842049503347,-0.001266214252788278,-0.0831048879112688
2019,0.5104774394282074,0.38961498013554774,0.8168993071510842
2020,0.6098635127729226,0.48622325743704997,0.8889593241716369
2021,0.35371164783748665,0.2741963772974283,0.5466949513567108
2022,-0.42174918633513947,-0.3257854930326368,-0.6063807421467766
2023,0.7199777507022938,0.5485265682512084,1.1689497716894972
2024,0.3057658122187692,0.25576440806984624,0.4242105263157918
2025,0.23770987540371946,0.20765710906448098,0.300997782705104
2026,0.20179542124994354,0.1613234541123283,0.2800738531458611
