peak_date,trough_date,recovery_date,max_drawdown,trading_days_to_trough,total_trading_days
2007-10-31,2009-03-09,2011-02-08,-0.6478047325838916,339,824
2021-11-19,2022-12-28,2024-01-19,-0.45052469726031386,277,542
2020-02-19,2020-03-16,2020-06-08,-0.3594557685506309,18,76
2018-08-29,2018-12-24,2019-04-22,-0.2900321018208293,80,160
2024-12-16,2025-04-08,2025-06-26,-0.28889646905129707,76,130
2015-12-01,2016-02-09,2016-07-28,-0.2065363309436472,47,165
2011-07-26,2011-08-19,2012-01-19,-0.2058657462756731,18,122
2015-07-20,2015-08-25,2015-10-28,-0.1775982699811005,26,71
2024-07-10,2024-08-07,2024-11-07,-0.1751664714529979,20,85
2020-09-02,2020-09-23,2020-12-03,-0.16272362926612172,14,64
