test_start,test_end,selected_weight_qld,cagr,volatility,sharpe,sortino,max_drawdown,calmar,terminal_multiple
2011-01-03,2011-12-30,0.0,0.03475952727042686,0.23699388822358042,0.26259183078054354,0.2028187967202859,-0.16099376432602974,0.2159060471437581,1.0347595272704269
2012-01-03,2012-12-31,0.0,0.18269972571531246,0.1532936142548125,1.171233696770609,1.8218985242009615,-0.11638260773678721,1.569819831916029,1.1811257209168415
2013-01-02,2013-12-31,0.0,0.36633670680357366,0.12233465444444246,2.613981228557872,4.592662136274374,-0.05853888594575718,6.2580061250742895,1.3663367068035737
2014-01-02,2014-12-31,0.0,0.19180800276815257,0.13828690173122196,1.3383344742139078,1.9676459834777025,-0.08248706513719661,2.3253100646644165,1.1918080027681526
2015-01-02,2015-12-31,0.0,0.09436666999337695,0.1787324834426765,0.5937035278798917,0.7548151695908287,-0.1394088387846263,0.676905932335931,1.094366669993377
2016-01-04,2016-12-30,0.0,0.07097081744320932,0.16174882913241573,0.5047906058840597,0.6052285429658795,-0.12036417531230148,0.5896340606253125,1.0709708174432093
2017-01-03,2017-12-29,0.0,0.3281423985455352,0.10315733792180058,2.8039646492808314,4.720191503667554,-0.04881663877599807,6.721937576473919,1.326647597741144
2018-01-02,2018-12-31,0.0,-0.0012712557231909782,0.22891900626781825,0.10873660208668087,-0.007536568733855505,-0.22796830830549342,-0.005576458116658071,0.9987337857472119
2019-01-02,2019-12-31,0.0,0.38961498013554974,0.1619101311457635,2.1142689439023807,3.5270758760785434,-0.1098320180197565,3.547371587631815,1.3896149801355497
2020-01-02,2020-12-31,0.0,0.48389741760133176,0.35632894066443477,1.287610290537957,1.8996944496863168,-0.28559385007676086,1.6943551742142613,1.4862232574370493
2021-01-04,2021-12-31,0.0,0.2741963772974263,0.18218050785609666,1.4215624338996566,2.18785654210145,-0.10851520983010232,2.526801337127984,1.2741963772974263
2022-01-03,2022-12-30,0.0,-0.32684354661808057,0.3214964254040669,-1.0698881145342,-1.3842076402436783,-0.3483177363139589,-0.9383488480284495,0.6742145069673635
2023-01-03,2023-12-29,0.0,0.5539534689191163,0.17865829602827585,2.5582138512715367,5.076575475704226,-0.10780178640620353,5.138629770306281,1.5485265682512055
2024-01-02,2024-12-31,0.0,0.2557644080698469,0.1800687008666133,1.35522309480289,2.025650917350268,-0.1355773818991568,1.8864828667372104,1.255764408069847
2025-01-02,2025-12-31,0.0,0.2094813928471364,0.23596746427949772,0.9224522312490837,1.3326856082995555,-0.22770816026576368,0.9199555808744211,1.2076571090644799
2026-01-02,2026-07-13,0.0,0.33336218768440684,0.21417742521322,1.4504771381869266,2.29666910754081,-0.11724869684091666,2.843205909032094,1.1613234541123287
